Country,Locality,Site,Transects,Latitude_dd,Longitude_dd,Year,Month
Venezuela,Cubagua,Punta_Conejo,4,10.83033056,-64.16479444,2017,Oct
Venezuela,Cubagua,Charagato,4,10.81556389,-64.22708889,2017,Oct
Venezuela,Cubagua,La_Muerta,4,10.79978889,-64.217275,2017,Oct
Venezuela,Los_Frailes,Cominoto,4,11.21461944,-63.76818056,2017,Oct
Venezuela,Los_Frailes,La_Pecha,4,11.20229167,-63.75253889,2017,Oct
Venezuela,Los_Frailes,Puerto_Real,4,11.18772778,-63.72993056,2017,Oct
Venezuela,Morrocoy,Bajo_Caiman,4,10.84922300,-68.2368050,2017,Mar
Venezuela,Morrocoy,Mero,4,10.81969444,-68.24771667,2017,Mar
Venezuela,Morrocoy,Norte,4,10.77952222,-68.200675,2017,Mar
Venezuela,Morrocoy,Medio,4,10.74233889,-68.23593889,2017,Mar
Venezuela,Morrocoy,Sur,4,10.72943611,-68.24435556,2017,Mar
Venezuela,Morrocoy,Sombrero,4,10.88862222,-68.21460833,2017,Mar
Venezuela,Morrocoy,Boca_Seca,4,10.83360556,-68.23656111,2017,Mar
Venezuela,Mochima,Carabela,4,10.38655556,-64.37455556,2017,Abr
Venezuela,Mochima,Punta_Cruz,4,10.39555556,-64.36752778,2017,Abr
Venezuela,Mochima,San_Agustin,4,10.38188889,-64.34730556,2017,Abr
Venezuela,Mochima,Blanca,4,10.39402778,-64.33480556,2017,Abr
Venezuela,Mochima,Gabarra,4,10.38205000,-64.3376600,2017,Abr
Venezuela,Mochima,Garrapata,4,10.38066667,-64.33766667,2017,Abr
Venezuela,Los_Roques,Cayo_de_Agua,4,11.81727778,-66.94033333,2017,Ene
Venezuela,Los_Roques,Dos_Mosquises,4,11.79266667,-66.89563889,2017,Ene
Venezuela,Los_Roques,Las_Salinas,4,11.74016667,-66.80748889,2017,Ene
Venezuela,Los_Roques,Cote,4,11.77330556,-66.72144444,2017,Ene
Venezuela,Los_Roques,La_Venada,4,11.87865000,-66.72434167,2017,Ene
Venezuela,Los_Roques,Rabuski,4,11.88222500,-66.68893889,2017,Ene
Venezuela,Los_Roques,Madriski,4,11.93988611,-66.66118889,2017,Ene
Venezuela,Chichiriviche,Petaquire,3,10.54826667,-67.27703333,2017,Oct
Venezuela,Chichiriviche,Playa_Tiburon,4,10.54741944,-67.26705,2017,Oct
Venezuela,Chichiriviche,La_Pared,4,10.55367778,-67.23888333,2018,Oct
Venezuela,Chichiriviche,Punta_Mono,4,10.55093611,-67.25188333,2017,Oct
Venezuela,Chichiriviche,Media_Legua,4,10.55511389,-67.21023333,2017,Oct
Venezuela,Chichiriviche,Punta_de_Media_Legua,4,10.557350,-67.20318889,2017,Oct
Venezuela,Ocumare,Cienaga_interno,4,10.47502778,-67.80861111,2018,Feb
Venezuela,Ocumare,Cienaga_este,4,10.48655556,-67.80427778,2018,Feb
Venezuela,Ocumare,Cienaga_oeste,4,10.47823889,-67.80893333,2018,Feb
Venezuela,Ocumare,Guabinitas,4,10.48401667,-67.82534167,2018,Feb